year,week,start.date,end.date,district,cases
2024,16,2024-04-13,2024-04-19,Puttalam,NA
2024,16,2024-04-13,2024-04-19,Anuradhapura,NA
2024,16,2024-04-13,2024-04-19,Polonnaruwa,NA
2024,16,2024-04-13,2024-04-19,Badulla,NA
2024,16,2024-04-13,2024-04-19,Monaragala,NA
2024,16,2024-04-13,2024-04-19,Ratnapura,NA
2024,16,2024-04-13,2024-04-19,Kegalle,NA
2024,17,2024-04-20,2024-04-26,Colombo,NA
2024,17,2024-04-20,2024-04-26,Gampaha,NA
2024,17,2024-04-20,2024-04-26,Kalutara,NA
2024,17,2024-04-20,2024-04-26,Kandy,NA
2024,17,2024-04-20,2024-04-26,Matale,NA
2024,17,2024-04-20,2024-04-26,NuwaraEliya,NA
2024,17,2024-04-20,2024-04-26,Galle,NA
2024,17,2024-04-20,2024-04-26,Hambantota,NA
2024,17,2024-04-20,2024-04-26,Matara,NA
2024,17,2024-04-20,2024-04-26,Jaffna,NA
2024,17,2024-04-20,2024-04-26,Kilinochchi,NA
2024,17,2024-04-20,2024-04-26,Mannar,NA
2024,17,2024-04-20,2024-04-26,Vavuniya,NA
2024,17,2024-04-20,2024-04-26,Mullaitivu,NA
2024,17,2024-04-20,2024-04-26,Batticaloa,NA
2024,17,2024-04-20,2024-04-26,Ampara,NA
2024,17,2024-04-20,2024-04-26,Trincomalee,NA
2024,17,2024-04-20,2024-04-26,Kurunegala,NA
2024,17,2024-04-20,2024-04-26,Puttalam,NA
2024,17,2024-04-20,2024-04-26,Anuradhapura,NA
2024,17,2024-04-20,2024-04-26,Polonnaruwa,NA
2024,17,2024-04-20,2024-04-26,Badulla,NA
2024,17,2024-04-20,2024-04-26,Monaragala,NA
2024,17,2024-04-20,2024-04-26,Ratnapura,NA
2024,17,2024-04-20,2024-04-26,Kegalle,NA
2024,18,2024-04-27,2024-05-03,Colombo,114
2024,18,2024-04-27,2024-05-03,Gampaha,48
2024,18,2024-04-27,2024-05-03,Kalutara,41
2024,18,2024-04-27,2024-05-03,Kandy,66
2024,18,2024-04-27,2024-05-03,Matale,6
2024,18,2024-04-27,2024-05-03,NuwaraEliya,3
2024,18,2024-04-27,2024-05-03,Galle,24
2024,18,2024-04-27,2024-05-03,Hambantota,15
2024,18,2024-04-27,2024-05-03,Matara,14
2024,18,2024-04-27,2024-05-03,Jaffna,28
2024,18,2024-04-27,2024-05-03,Kilinochchi,0
2024,18,2024-04-27,2024-05-03,Mannar,1
2024,18,2024-04-27,2024-05-03,Vavuniya,0
2024,18,2024-04-27,2024-05-03,Mullaitivu,2
2024,18,2024-04-27,2024-05-03,Batticaloa,17
2024,18,2024-04-27,2024-05-03,Ampara,3
2024,18,2024-04-27,2024-05-03,Trincomalee,19
2024,18,2024-04-27,2024-05-03,Kurunegala,19
2024,18,2024-04-27,2024-05-03,Puttalam,7
2024,18,2024-04-27,2024-05-03,Anuradhapura,4
2024,18,2024-04-27,2024-05-03,Polonnaruwa,7
2024,18,2024-04-27,2024-05-03,Badulla,7
2024,18,2024-04-27,2024-05-03,Monaragala,7
2024,18,2024-04-27,2024-05-03,Ratnapura,74
2024,18,2024-04-27,2024-05-03,Kegalle,36
2024,19,2024-05-04,2024-05-10,Colombo,75
2024,19,2024-05-04,2024-05-10,Gampaha,55
